target,model,contrast_candidate,feature,r_squared,adj_r_squared,raw_coef,std_coef,std_error_ols,std_error_hc3,t_stat_hc3,p_value_hc3,ci_95_hc3_lower,ci_95_hc3_upper,ci_95_boot_lower,ci_95_boot_upper,std_coef_no_influential,vif,bp_hetero_pvalue,jb_normality_pvalue,influential_cases_count,p_value_holm
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_e_ab,delta_e_ab,0.0192,0.004,0.0003,0.084,0.0003,0.0002,1.8211,0.07013692481097822,-0.0,0.0006,-0.0,0.0006,0.0687,1.73,0.2743,0.0019,10,0.07013692481097822
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_e_ab,fst_medium,0.0192,0.004,-0.0102,-0.0704,0.0129,0.0132,-0.7737,0.44007722111334413,-0.0362,0.0158,-0.0353,0.0149,-0.1293,1.58,0.2743,0.0019,10,0.44007722111334413
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_e_ab,fst_dark,0.0192,0.004,-0.0124,-0.0799,0.0171,0.0142,-0.8731,0.3836979408877714,-0.0405,0.0156,-0.04,0.0134,-0.0761,2.4,0.2743,0.0019,10,0.3836979408877714
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_e_ab,delta_e_ab,0.2782,0.2594,-0.0,-0.004,0.0004,0.0003,-0.0456,0.9636639423185667,-0.0006,0.0006,-0.0007,0.0005,-0.0589,4.02,0.0,0.0,12,1.0
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_e_ab,fst_medium,0.2782,0.2594,-0.0103,-0.0711,0.0114,0.0109,-0.9444,0.3461627750114493,-0.0318,0.0112,-0.0321,0.0092,-0.0993,1.65,0.0,0.0,12,0.3461627750114493
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_e_ab,fst_dark,0.2782,0.2594,-0.0082,-0.0524,0.018,0.0142,-0.573,0.5673099812272064,-0.0362,0.0199,-0.0379,0.016,-0.081,3.57,0.0,0.0,12,0.5673099812272064
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_e_ab,lesion_size,0.2782,0.2594,-1.0948,-0.5186,0.1319,0.3878,-2.823,0.00525941799233598,-1.8598,-0.3299,-2.2763,-0.6962,-0.6755,1.04,0.0,0.0,12,0.00525941799233598
morphological_difficulty_class_a,Model_3_Full_Confounders,delta_e_ab,artifacts,0.2782,0.2594,0.0059,0.0141,0.039,0.0332,0.1767,0.859917167313637,-0.0596,0.0713,-0.0571,0.0738,0.0329,2.35,0.0,0.0,12,0.859917167313637
morphological_difficulty_class_a,Model_1_Univariate,delta_a,delta_a,0.0013,-0.0038,0.0002,0.0357,0.0005,0.0003,0.9034,0.36741819108539486,-0.0003,0.0008,-0.0003,0.0007,0.0258,1.0,0.0671,0.0012,5,0.36741819108539486
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_a,delta_a,0.0193,0.0041,0.0004,0.0659,0.0005,0.0002,1.7555,0.08075324884769297,-0.0001,0.0009,-0.0,0.0009,0.0604,1.05,0.2424,0.002,11,0.08075324884769297
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_a,fst_medium,0.0193,0.0041,-0.0156,-0.1076,0.0123,0.0126,-1.2362,0.21788850592096343,-0.0405,0.0093,-0.0396,0.0086,-0.1394,1.43,0.2424,0.002,11,0.21788850592096343
morphological_difficulty_class_a,Model_2_Controlled_FST,delta_a,fst_dark,0.0193,0.0041,-0.025,-0.1609,0.0134,0.0137,-1.8193,0.07040102518957347,-0.0521,0.0021,-0.0529,0.001,-0.1235,1.47,0.2424,0.002,11,0.07040102518957347
