ablation_variant,image_id,skin_tone_group,delta,realization_id,dice,iou
Full CG-Adapter (Ours),000292,FST_I_II_Light,0.2,3,0.859350195787914,0.7533865281128224
Full CG-Adapter (Ours),000294,FST_I_II_Light,0.0,0,0.81,0.680672268907563
Full CG-Adapter (Ours),000294,FST_I_II_Light,0.2,1,0.8078817733990148,0.6776859504132231
Full CG-Adapter (Ours),000294,FST_I_II_Light,0.2,2,0.8130841121495327,0.6850393700787402
Full CG-Adapter (Ours),000294,FST_I_II_Light,0.2,3,0.7638190954773869,0.6178861788617886
Full CG-Adapter (Ours),000303,FST_I_II_Light,0.0,0,0.7641921397379913,0.6183745583038869
Full CG-Adapter (Ours),000303,FST_I_II_Light,0.2,1,0.6901098901098901,0.5268456375838926
Full CG-Adapter (Ours),000303,FST_I_II_Light,0.2,2,0.8032454361054767,0.6711864406779661
Full CG-Adapter (Ours),000303,FST_I_II_Light,0.2,3,0.7701375245579568,0.6261980830670927
Full CG-Adapter (Ours),000304,FST_I_II_Light,0.0,0,0.9380654140570633,0.8833551769331586
Full CG-Adapter (Ours),000304,FST_I_II_Light,0.2,1,0.9135628952916374,0.8408796895213454
Full CG-Adapter (Ours),000304,FST_I_II_Light,0.2,2,0.9475862068965517,0.9003931847968545
Full CG-Adapter (Ours),000304,FST_I_II_Light,0.2,3,0.9221140472878998,0.8554838709677419
Full CG-Adapter (Ours),000305,FST_I_II_Light,0.0,0,0.746268656716418,0.5952380952380952
Full CG-Adapter (Ours),000305,FST_I_II_Light,0.2,1,0.6814814814814815,0.5168539325842697
Full CG-Adapter (Ours),000305,FST_I_II_Light,0.2,2,0.7222222222222222,0.5652173913043478
Full CG-Adapter (Ours),000305,FST_I_II_Light,0.2,3,0.7323943661971831,0.5777777777777777
Full CG-Adapter (Ours),000307,FST_I_II_Light,0.0,0,0.5166666666666667,0.34831460674157305
Full CG-Adapter (Ours),000307,FST_I_II_Light,0.2,1,0.5094339622641509,0.34177215189873417
Full CG-Adapter (Ours),000307,FST_I_II_Light,0.2,2,0.4852941176470588,0.32038834951456313
Full CG-Adapter (Ours),000307,FST_I_II_Light,0.2,3,0.4429530201342282,0.28448275862068967
Full CG-Adapter (Ours),000308,FST_I_II_Light,0.0,0,0.9611868207693635,0.9252739953503819
Full CG-Adapter (Ours),000308,FST_I_II_Light,0.2,1,0.9683104558549398,0.9385676741130092
Full CG-Adapter (Ours),000308,FST_I_II_Light,0.2,2,0.9727755644090306,0.9469941822882999
Full CG-Adapter (Ours),000308,FST_I_II_Light,0.2,3,0.9754621848739495,0.9520997375328084
Full CG-Adapter (Ours),000311,FST_I_II_Light,0.0,0,0.8961748633879781,0.8118811881188119
Full CG-Adapter (Ours),000311,FST_I_II_Light,0.2,1,0.7910863509749304,0.6543778801843319
Full CG-Adapter (Ours),000311,FST_I_II_Light,0.2,2,0.8958333333333334,0.8113207547169812
Full CG-Adapter (Ours),000311,FST_I_II_Light,0.2,3,0.8610354223433242,0.7559808612440191
Full CG-Adapter (Ours),000314,FST_I_II_Light,0.0,0,0.9326241134751773,0.8737541528239202
Full CG-Adapter (Ours),000314,FST_I_II_Light,0.2,1,0.906764168190128,0.8294314381270903
Full CG-Adapter (Ours),000314,FST_I_II_Light,0.2,2,0.9116117850953206,0.8375796178343949
Full CG-Adapter (Ours),000314,FST_I_II_Light,0.2,3,0.9173989455184535,0.8474025974025974
Full CG-Adapter (Ours),000317,FST_I_II_Light,0.0,0,0.8092485549132948,0.6796116504854369
Full CG-Adapter (Ours),000317,FST_I_II_Light,0.2,1,0.7878787878787878,0.65
Full CG-Adapter (Ours),000317,FST_I_II_Light,0.2,2,0.8045977011494253,0.6730769230769231
Full CG-Adapter (Ours),000317,FST_I_II_Light,0.2,3,0.7593582887700535,0.6120689655172413
Full CG-Adapter (Ours),000321,FST_I_II_Light,0.0,0,0.9118541033434651,0.8379888268156425
Full CG-Adapter (Ours),000321,FST_I_II_Light,0.2,1,0.9166666666666666,0.8461538461538461
Full CG-Adapter (Ours),000321,FST_I_II_Light,0.2,2,0.916923076923077,0.8465909090909091
Full CG-Adapter (Ours),000321,FST_I_II_Light,0.2,3,0.8888888888888888,0.8
Full CG-Adapter (Ours),000323,FST_I_II_Light,0.0,0,0.8858057630736392,0.7950191570881227
Full CG-Adapter (Ours),000323,FST_I_II_Light,0.2,1,0.834070796460177,0.715370018975332
Full CG-Adapter (Ours),000323,FST_I_II_Light,0.2,2,0.8817427385892116,0.7884972170686456
Full CG-Adapter (Ours),000323,FST_I_II_Light,0.2,3,0.9067201604814443,0.8293577981651377
Full CG-Adapter (Ours),000326,FST_I_II_Light,0.0,0,0.832,0.7123287671232876
Full CG-Adapter (Ours),000326,FST_I_II_Light,0.2,1,0.7808764940239044,0.6405228758169934
Full CG-Adapter (Ours),000326,FST_I_II_Light,0.2,2,0.8308823529411765,0.710691823899371
Full CG-Adapter (Ours),000326,FST_I_II_Light,0.2,3,0.8127208480565371,0.6845238095238095
Full CG-Adapter (Ours),000330,FST_I_II_Light,0.0,0,0.8617363344051447,0.7570621468926554
Full CG-Adapter (Ours),000330,FST_I_II_Light,0.2,1,0.7719298245614035,0.6285714285714286
Full CG-Adapter (Ours),000330,FST_I_II_Light,0.2,2,0.8424242424242424,0.7277486910994765
Full CG-Adapter (Ours),000330,FST_I_II_Light,0.2,3,0.8344370860927153,0.7159090909090909
Full CG-Adapter (Ours),000335,FST_I_II_Light,0.0,0,0.8745623566340698,0.7770864621325896
Full CG-Adapter (Ours),000335,FST_I_II_Light,0.2,1,0.813585291113381,0.6857511838140335
Full CG-Adapter (Ours),000335,FST_I_II_Light,0.2,2,0.8335273573923166,0.7145708582834331
Full CG-Adapter (Ours),000335,FST_I_II_Light,0.2,3,0.8284593837535014,0.7071537872991583
Full CG-Adapter (Ours),000346,FST_I_II_Light,0.0,0,0.9602649006622517,0.9235668789808917
Full CG-Adapter (Ours),000346,FST_I_II_Light,0.2,1,0.9059233449477352,0.8280254777070064
Full CG-Adapter (Ours),000346,FST_I_II_Light,0.2,2,0.9329073482428115,0.874251497005988
Full CG-Adapter (Ours),000346,FST_I_II_Light,0.2,3,0.8722741433021807,0.7734806629834254
Full CG-Adapter (Ours),000349,FST_I_II_Light,0.0,0,0.9378651088688263,0.883
Full CG-Adapter (Ours),000349,FST_I_II_Light,0.2,1,0.8048245614035088,0.673394495412844
Full CG-Adapter (Ours),000349,FST_I_II_Light,0.2,2,0.8322147651006712,0.7126436781609196
Full CG-Adapter (Ours),000349,FST_I_II_Light,0.2,3,0.8389912706110573,0.722639933166249
Full CG-Adapter (Ours),000354,FST_I_II_Light,0.0,0,0.872954014029618,0.7745504840940526
Full CG-Adapter (Ours),000354,FST_I_II_Light,0.2,1,0.7832335329341318,0.6437007874015748
Full CG-Adapter (Ours),000354,FST_I_II_Light,0.2,2,0.8802512760109933,0.7861150070126227
Full CG-Adapter (Ours),000354,FST_I_II_Light,0.2,3,0.8612821441506701,0.7563613231552163
Full CG-Adapter (Ours),000355,FST_I_II_Light,0.0,0,0.953941541186891,0.9119390347163421
Full CG-Adapter (Ours),000355,FST_I_II_Light,0.2,1,0.8045509955302722,0.6730115567641061
Full CG-Adapter (Ours),000355,FST_I_II_Light,0.2,2,0.8999073215940686,0.8180286436394272
Full CG-Adapter (Ours),000355,FST_I_II_Light,0.2,3,0.8913951545530493,0.8040693293142427
Full CG-Adapter (Ours),000358,FST_I_II_Light,0.0,0,0.8280060882800608,0.7064935064935065
Full CG-Adapter (Ours),000358,FST_I_II_Light,0.2,1,0.8651685393258427,0.7623762376237624
Full CG-Adapter (Ours),000358,FST_I_II_Light,0.2,2,0.86002886002886,0.7544303797468355
Full CG-Adapter (Ours),000358,FST_I_II_Light,0.2,3,0.7756315007429421,0.633495145631068
Full CG-Adapter (Ours),000366,FST_I_II_Light,0.0,0,0.7870351132349885,0.6488523466940733
Full CG-Adapter (Ours),000366,FST_I_II_Light,0.2,1,0.7104940792160065,0.5509816339455351
Full CG-Adapter (Ours),000366,FST_I_II_Light,0.2,2,0.7719509744826201,0.6285994764397905
Full CG-Adapter (Ours),000366,FST_I_II_Light,0.2,3,0.7743132887899035,0.6317383403997577
Full CG-Adapter (Ours),000370,FST_I_II_Light,0.0,0,0.7933884297520661,0.6575342465753424
Full CG-Adapter (Ours),000370,FST_I_II_Light,0.2,1,0.8100147275405007,0.6806930693069307
Full CG-Adapter (Ours),000370,FST_I_II_Light,0.2,2,0.8763693270735524,0.7799442896935933
Full CG-Adapter (Ours),000370,FST_I_II_Light,0.2,3,0.7354260089686099,0.5815602836879432
Full CG-Adapter (Ours),000371,FST_I_II_Light,0.0,0,0.9217002237136466,0.8547717842323651
Full CG-Adapter (Ours),000371,FST_I_II_Light,0.2,1,0.9060022650056625,0.8281573498964804
Full CG-Adapter (Ours),000371,FST_I_II_Light,0.2,2,0.9354838709677419,0.8787878787878788
Full CG-Adapter (Ours),000371,FST_I_II_Light,0.2,3,0.9544973544973545,0.9129554655870445
Full CG-Adapter (Ours),000373,FST_I_II_Light,0.0,0,0.6818181818181818,0.5172413793103449
Full CG-Adapter (Ours),000373,FST_I_II_Light,0.2,1,0.6408450704225352,0.47150259067357514
Full CG-Adapter (Ours),000373,FST_I_II_Light,0.2,2,0.6583850931677019,0.49074074074074076
Full CG-Adapter (Ours),000373,FST_I_II_Light,0.2,3,0.654320987654321,0.48623853211009177
Full CG-Adapter (Ours),000375,FST_I_II_Light,0.0,0,0.7581699346405228,0.6105263157894737
Full CG-Adapter (Ours),000375,FST_I_II_Light,0.2,1,0.6612903225806451,0.4939759036144578
Full CG-Adapter (Ours),000375,FST_I_II_Light,0.2,2,0.7603960396039604,0.6134185303514377
Full CG-Adapter (Ours),000375,FST_I_II_Light,0.2,3,0.8218029350104822,0.697508896797153
Full CG-Adapter (Ours),000377,FST_I_II_Light,0.0,0,0.8552915766738661,0.7471698113207547
Full CG-Adapter (Ours),000377,FST_I_II_Light,0.2,1,0.6885245901639344,0.525
