model,image_id,skin_tone_group,delta,realization_id,dice,iou,hd95,nsd
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.0,0,0.7615750757247944,0.6149545772187281,11.313708498984761,0.1488095238095238
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.05,1,0.821979831240996,0.6977638015373865,7.615773105863909,0.20588235294117646
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.05,2,0.8438564842653838,0.7298890429958391,10.0,0.36768802228412256
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.05,3,0.728,0.5723270440251572,12.727922061357855,0.02416918429003021
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.1,1,0.6937471474212689,0.5310971348707197,13.45362404707371,0.0
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.1,2,0.8084495488105005,0.6784853700516351,9.0,0.2556179775280899
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.1,3,0.7425047841803104,0.5904633074061549,16.401219466856727,0.2289156626506024
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.2,1,0.82232070910556,0.698255217242559,9.0,0.3074866310160428
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.2,2,0.6746932160222273,0.5090845562543675,16.64331697709324,0.09872611464968153
Zero-Shot MedSAM (E03),000044,FST_I_II_Light,0.2,3,0.6814098134070491,0.5167714884696016,16.492422502470642,0.1069182389937107
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.0,0,0.5811001410437235,0.4095427435387674,9.558444132978453,0.23577235772357724
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.05,1,0.573049645390071,0.40159045725646125,9.982889503553372,0.225
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.05,2,0.6027777777777777,0.43141153081510936,9.283875459722001,0.2682926829268293
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.05,3,0.5770862800565771,0.40556660039761433,10.539313440518086,0.2231404958677686
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.1,1,0.6728232189973615,0.5069582504970179,7.810249675906654,0.3779527559055118
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.1,2,0.6143250688705234,0.4433399602385686,9.026853674187278,0.25203252032520324
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.1,3,0.6200274348422496,0.44930417495029823,8.664084194722017,0.25
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.2,1,0.4570552147239264,0.2962226640159046,8.335548999459983,0.0
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.2,2,0.6368563685636857,0.4671968190854871,6.494648145952804,0.24427480916030533
Zero-Shot MedSAM (E03),000260,FST_I_II_Light,0.2,3,0.6124137931034482,0.441351888667992,9.026853674187278,0.264
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.0,0,0.8196248196248196,0.6943765281173594,4.0,0.7049180327868853
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.05,1,0.7258805513016845,0.5697115384615384,5.0,0.39316239316239315
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.05,2,0.7381316998468607,0.5849514563106796,5.0,0.3620689655172414
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.05,3,0.7800586510263929,0.6394230769230769,4.200803415593716,0.4666666666666667
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.1,1,0.762481089258699,0.6161369193154034,5.285013954394902,0.5677966101694916
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.1,2,0.6485623003194888,0.4799054373522459,6.4031242374328485,0.3826086956521739
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.1,3,0.729483282674772,0.5741626794258373,5.0,0.453781512605042
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.2,1,0.7034700315457413,0.5425790754257908,5.830951894845301,0.45217391304347826
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.2,2,0.703601108033241,0.5427350427350427,6.944065454087338,0.44
Zero-Shot MedSAM (E03),000261,FST_I_II_Light,0.2,3,0.4595103578154426,0.2982885085574572,8.581912734438843,0.0
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.0,0,0.937652385928248,0.8826229508196721,3.0,0.8812949640287769
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.05,1,0.9418767507002801,0.8901389808074123,2.965685424949235,0.9283154121863799
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.05,2,0.9379407616361072,0.8831341301460823,3.0,0.9130434782608695
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.05,3,0.9361408353469106,0.8799480856586632,3.5168965524048597,0.8260869565217391
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.1,1,0.9260647359454856,0.8623096446700508,4.377708763999656,0.7777777777777778
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.1,2,0.9370826010544816,0.8816137566137566,3.0,0.9100719424460432
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.1,3,0.910650464617584,0.8359580052493438,5.0,0.7357142857142858
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.2,1,0.7079490557751428,0.5479265805574439,12.0,0.30612244897959184
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.2,2,0.670843776106934,0.5047140163419234,13.601470508735444,0.3861003861003861
Zero-Shot MedSAM (E03),000265,FST_I_II_Light,0.2,3,0.7893723527146708,0.6520356234096693,13.340807254080044,0.49612403100775193
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.0,0,0.8068965517241379,0.6763005780346821,2.23606797749979,0.9113924050632911
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.05,1,0.762589928057554,0.6162790697674418,3.0,0.8421052631578947
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.05,2,0.8026315789473685,0.6703296703296703,2.2124611797498104,0.9397590361445783
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.05,3,0.7972027972027972,0.6627906976744186,2.23606797749979,0.8846153846153846
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.1,1,0.7972027972027972,0.6627906976744186,2.8284271247461903,0.8441558441558441
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.1,2,0.7714285714285715,0.627906976744186,3.0,0.8441558441558441
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.1,3,0.7352941176470589,0.5813953488372093,2.769191210021549,0.7866666666666666
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.2,1,0.7959866220735786,0.6611111111111111,3.605551275463989,0.775
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.2,2,0.6184738955823293,0.4476744186046512,4.123105625617661,0.5915492957746479
Zero-Shot MedSAM (E03),000270,FST_I_II_Light,0.2,3,0.7254901960784313,0.5692307692307692,3.0,0.7037037037037037
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.0,0,0.509090909090909,0.34146341463414637,4.402329889123195,0.6511627906976745
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.05,1,0.509090909090909,0.34146341463414637,4.402329889123195,0.6511627906976745
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.05,2,0.509090909090909,0.34146341463414637,4.402329889123195,0.6511627906976745
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.05,3,0.603448275862069,0.43209876543209874,3.12889260662616,0.8125
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.1,1,0.6086956521739131,0.4375,3.129822128134703,0.84
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.1,2,0.5132743362831859,0.34523809523809523,4.402329889123195,0.6590909090909091
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.1,3,0.5132743362831859,0.34523809523809523,4.402329889123195,0.6590909090909091
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.2,1,0.532258064516129,0.3626373626373626,3.605551275463989,0.7368421052631579
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.2,2,0.704,0.5432098765432098,3.028737445999503,0.8888888888888888
Zero-Shot MedSAM (E03),000273,FST_I_II_Light,0.2,3,0.5225225225225225,0.35365853658536583,4.402329889123195,0.6590909090909091
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.0,0,0.8586956521739131,0.7523809523809524,2.0,0.967741935483871
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.05,1,0.8586956521739131,0.7523809523809524,2.0,0.967741935483871
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.05,2,0.8586956521739131,0.7523809523809524,2.0,0.967741935483871
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.05,3,0.8333333333333334,0.7142857142857143,2.0,0.9672131147540983
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.1,1,0.8022598870056498,0.6698113207547169,2.0,0.967741935483871
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.1,2,0.7619047619047619,0.6153846153846154,2.4499999999999993,0.9333333333333333
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.1,3,0.8795811518324608,0.7850467289719626,1.677817459305202,1.0
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.2,1,0.8685714285714285,0.7676767676767676,2.4499999999999993,0.9344262295081968
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.2,2,0.8842105263157894,0.7924528301886793,1.677817459305202,1.0
Zero-Shot MedSAM (E03),000274,FST_I_II_Light,0.2,3,0.875,0.7777777777777778,2.0,0.9682539682539683
Zero-Shot MedSAM (E03),000275,FST_I_II_Light,0.0,0,0.6770833333333334,0.5118110236220472,6.4031242374328485,0.7227722772277227
Zero-Shot MedSAM (E03),000275,FST_I_II_Light,0.05,1,0.6736842105263158,0.5079365079365079,6.4031242374328485,0.7
Zero-Shot MedSAM (E03),000275,FST_I_II_Light,0.05,2,0.6631299734748011,0.49603174603174605,6.4031242374328485,0.7
Zero-Shot MedSAM (E03),000275,FST_I_II_Light,0.05,3,0.6827956989247311,0.5183673469387755,6.4031242374328485,0.7722772277227723
